City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,al minya,28.1099,30.7503,35.67,17,50,3.56,EG,1690403364
118,axim,4.8699,-2.2405,24.89,90,87,2.57,GH,1690403364
119,alice springs,-23.7,133.8833,12.75,71,100,0.0,AU,1690403364
120,olyokminsk,60.3736,120.4264,16.95,97,8,2.06,RU,1690403364
121,georgetown,5.4112,100.3354,27.96,95,40,1.03,MY,1690403074
122,teluknaga,-6.0989,106.6381,27.02,94,40,2.06,ID,1690403364
123,hongjiang,27.11,109.9956,24.32,94,100,1.34,CN,1690403364
124,port elizabeth,-33.918,25.5701,17.16,67,0,5.66,ZA,1690403249
125,tsiombe,-25.3,45.4833,18.21,56,1,5.23,MG,1690403365
126,hamilton,39.1834,-84.5333,33.14,63,0,6.69,US,1690402996
127,paramonga,-10.6667,-77.8333,21.97,71,11,5.07,PE,1690403365
128,colonia,50.9333,6.95,19.42,64,0,3.09,DE,1690403296
129,lesnoy,57.6198,63.0784,14.17,95,24,2.21,RU,1690403365
130,port mathurin,-19.6833,63.4167,23.75,78,47,6.13,MU,1690403365
131,tvoroyri,61.5556,-6.8111,10.44,73,15,4.27,FO,1690403366
132,invercargill,-46.4,168.35,6.54,71,100,10.79,NZ,1690403324
133,punta arenas,-53.15,-70.9167,2.19,68,38,6.2,CL,1690403052
134,anadyr,64.75,177.4833,11.28,87,75,4.0,RU,1690403366
135,kingston,17.997,-76.7936,34.02,71,20,4.12,JM,1690403273
136,gandu,-13.7439,-39.4867,21.03,97,90,0.88,BR,1690403366
137,meulaboh,4.1363,96.1285,25.08,91,100,1.53,ID,1690403367
138,mejit,10.2753,170.8646,27.99,79,100,7.69,MH,1690403367
139,tazovsky,67.4667,78.7,15.13,84,17,3.96,RU,1690403367
140,novoul'yanovsk,54.1496,48.3891,20.75,63,29,3.75,RU,1690403367
141,nizhnevartovsk,60.9344,76.5531,17.01,100,75,3.13,RU,1690403368
142,burang,30.25,81.1667,10.72,86,100,1.86,CN,1690403368
143,badger,64.8,-147.5333,26.18,65,75,1.54,US,1690403368
144,pariaman,-0.619,100.12,25.24,86,99,1.64,ID,1690403368
145,yemva,62.59,50.8594,14.99,73,84,1.91,RU,1690403368
146,burutu,5.3509,5.5076,25.84,86,86,3.37,NG,1690403368
147,iskateley,67.6803,53.1512,16.42,73,77,1.58,RU,1690403368
148,saint-joseph,-21.3667,55.6167,19.21,83,44,3.23,RE,1690403369
149,paradip garh,20.3167,86.6167,28.47,83,100,7.82,IN,1690403369
150,ta`u,-14.2336,-169.5144,25.34,74,93,5.53,AS,1690403369
151,san patricio,28.017,-97.5169,38.98,38,0,8.03,US,1690403202
152,smidovich,48.6,133.8167,19.27,92,13,2.6,RU,1690403369
153,kruisfontein,-34.0033,24.7314,13.82,66,100,2.71,ZA,1690403370
154,mili,6.0815,171.735,27.66,78,97,4.0,MH,1690403370
155,praia da vitoria,38.7333,-27.0667,26.14,69,20,2.51,PT,1690403370
156,glendive,47.1053,-104.7125,33.79,18,0,5.66,US,1690403370
157,tolanaro,-25.0319,46.9987,19.04,72,40,5.14,MG,1690403370
158,guajara mirim,-10.7828,-65.3394,35.89,23,3,1.55,BR,1690403370
159,vadso,70.0744,29.7487,10.49,93,100,2.06,NO,1690403284
160,andorra,42.5,1.5,14.72,82,20,1.89,AD,1690403371
161,utrik,11.2278,169.8474,27.87,82,100,7.71,MH,1690403371
162,aykhal,66.0,111.5,14.15,83,100,1.13,RU,1690403371
163,ayame,5.6083,-3.1563,23.69,91,61,1.84,CI,1690403372
164,kagoro,9.6,8.3833,21.56,91,92,1.1,NG,1690403372
165,meiktila,20.8667,95.8667,25.33,81,37,6.86,MM,1690403372
166,peterhead,57.5058,-1.7981,13.22,77,0,4.46,GB,1690403372
167,shwebo,22.5667,95.7,28.17,69,48,5.46,MM,1690403372
168,ola,59.5833,151.2833,16.19,95,100,2.03,RU,1690403373
169,dwarka,22.2394,68.9678,27.71,83,100,8.72,IN,1690403373
170,sitka,57.0531,-135.33,14.94,88,100,2.57,US,1690403245
171,antofagasta,-23.65,-70.4,18.6,73,20,3.1,CL,1690403145
172,puerto baquerizo moreno,-0.9,-89.6,27.55,74,40,5.14,EC,1690403374
173,avarua,-21.2078,-159.775,23.03,78,100,1.03,CK,1690403374
174,rio gallegos,-51.6226,-69.2181,-1.97,86,0,3.09,AR,1690403374
175,west island,-12.1568,96.8225,24.99,83,75,10.8,CC,1690403374
176,uturoa,-16.7333,-151.4333,25.54,84,40,4.04,PF,1690403374
177,arenapolis,-14.4503,-56.8461,35.51,18,3,0.92,BR,1690403374
178,fuerte olimpo,-21.0415,-57.8738,29.42,29,84,1.31,PY,1690403375
179,mumbwa,-14.9783,27.0619,16.63,50,2,3.21,ZM,1690403375
180,margaret river,-33.95,115.0667,12.93,66,100,8.56,AU,1690403148
181,aljezur,37.3191,-8.8033,17.09,95,5,3.67,PT,1690403375
182,eagle point,42.4726,-122.8028,30.87,38,0,0.45,US,1690403377
183,kapuskasing,49.4169,-82.4331,21.05,73,100,2.57,CA,1690403378
184,silvania,-16.6589,-48.6081,27.59,24,2,2.21,BR,1690403378
185,afaahiti,-17.75,-149.2833,25.93,85,42,2.8,PF,1690403378
186,at taj,24.2049,23.2857,30.26,10,5,4.67,LY,1690403379
187,kumeny,58.1089,49.9161,17.15,87,99,3.54,RU,1690403379
188,vernon,50.2581,-119.2691,25.72,38,43,2.68,CA,1690403285
189,kotma,23.2,81.9667,27.06,72,52,2.54,IN,1690403381
190,savyntsi,49.4026,37.0627,23.73,51,53,4.5,UA,1690403381
191,happy valley-goose bay,53.3168,-60.3315,26.17,36,40,5.66,CA,1690403311
192,saint-pierre,-21.3393,55.4781,19.82,88,75,3.6,RE,1690403383
193,miura,35.14,139.6192,27.99,87,28,3.79,JP,1690403383
194,lihue,21.9789,-159.3672,28.77,74,40,6.69,US,1690403098
195,taltal,-25.4,-70.4833,16.76,78,35,3.11,CL,1690403384
196,guli,28.8833,120.0333,23.87,94,85,1.49,CN,1690403384
197,ribeira grande,38.5167,-28.7,23.76,83,40,5.66,PT,1690403385
198,susuman,62.7833,148.1667,10.65,88,100,2.01,RU,1690403385
199,crane,31.3974,-102.3501,36.3,21,31,7.9,US,1690403385
200,ketchikan,55.3422,-131.6461,16.26,82,100,1.54,US,1690403385
201,grand falls-windsor,48.9332,-55.6649,28.61,54,100,5.88,CA,1690403124
202,severobaykal'sk,55.65,109.3167,10.48,98,89,0.56,RU,1690403386
203,nuuk,64.1835,-51.7216,5.34,93,75,8.23,GL,1690403386
